C1 BodySize,C1 WicksUp,C1 WicksDown,C1 CandleType,C2 BodySize,C2 WicksUp,C2 WicksDown,C2 CandleType,C3 BodySize,C3 WicksUp,C3 WicksDown,C3 CandleType,P0ICTION OUTPUT
0.046,0.403,0.691,1,0.111,0.113,0.237,1,0.679,0,0.131,1,0
0.111,0.113,0.237,1,0.679,0,0.131,1,0.01,0.311,0.087,0,1
0.679,0,0.131,1,0.01,0.311,0.087,0,1.02,0.07,0,1,1
0.01,0.311,0.087,0,1.02,0.07,0,1,1.533,0.007,0.1,1,1
1.02,0.07,0,1,1.533,0.007,0.1,1,0.237,1.064,0.18,1,1
1.533,0.007,0.1,1,0.237,1.064,0.18,1,0.2,0.341,0,1,1
0.237,1.064,0.18,1,0.2,0.341,0,1,0.404,0,0.207,1,0
0.2,0.341,0,1,0.404,0,0.207,1,0.201,0.126,0.01,0,1
0.404,0,0.207,1,0.201,0.126,0.01,0,0.057,0.059,0.104,1,0
0.201,0.126,0.01,0,0.057,0.059,0.104,1,0.288,0.049,0.053,0,0
0.057,0.059,0.104,1,0.288,0.049,0.053,0,0.22,0.098,0.002,0,0
0.288,0.049,0.053,0,0.22,0.098,0.002,0,0.979,0,0.011,0,1
0.22,0.098,0.002,0,0.979,0,0.011,0,0.151,0.017,0.3,1,0
0.979,0,0.011,0,0.151,0.017,0.3,1,0.017,0.451,0,0,1
0.151,0.017,0.3,1,0.017,0.451,0,0,0.107,0.064,0.11,1,1
0.017,0.451,0,0,0.107,0.064,0.11,1,0.117,0.123,0.2,1,1
0.107,0.064,0.11,1,0.117,0.123,0.2,1,0.181,0.273,0.01,1,1
0.117,0.123,0.2,1,0.181,0.273,0.01,1,0.04,0.023,0.01,1,1
0.181,0.273,0.01,1,0.04,0.023,0.01,1,0.671,0.019,0.01,1,1
0.04,0.023,0.01,1,0.671,0.019,0.01,1,0.157,0.42,0.132,1,0
0.671,0.019,0.01,1,0.157,0.42,0.132,1,0.391,0.109,0.009,0,0
0.157,0.42,0.132,1,0.391,0.109,0.009,0,0.206,0.244,0.041,0,0
0.391,0.109,0.009,0,0.206,0.244,0.041,0,1.152,0.1,0.968,0,1
0.206,0.244,0.041,0,1.152,0.1,0.968,0,0.473,0.31,0.299,1,0
1.152,0.1,0.968,0,0.473,0.31,0.299,1,0.479,0.061,0.22,0,1
0.473,0.31,0.299,1,0.479,0.061,0.22,0,0.681,0.116,0,1,0
0.479,0.061,0.22,0,0.681,0.116,0,1,0.083,0.111,0.23,0,1
0.681,0.116,0,1,0.083,0.111,0.23,0,0.46,0.051,0.09,1,0
0.083,0.111,0.23,0,0.46,0.051,0.09,1,0.087,0.453,0.042,0,1
0.46,0.051,0.09,1,0.087,0.453,0.042,0,0.64,0.01,0.054,1,0
0.087,0.453,0.042,0,0.64,0.01,0.054,1,0.23,0.201,0.013,0,1
