Open,High,Low,Close,OUTPUT
1302.622,1302.622,1302.622,1302.622,0
1302.922,1303.371,1302.231,1302.968,0
1302.968,1303.192,1302.731,1303.079,0
1303.079,1303.758,1302.948,1303.758,0
1303.758,1304.069,1303.661,1303.748,1
1303.748,1304.838,1303.748,1304.768,0
1304.768,1306.308,1304.668,1306.301,0
1306.301,1307.602,1306.121,1306.538,0
1306.538,1307.079,1306.538,1306.738,0
1306.738,1307.142,1306.531,1307.142,0
1307.142,1307.268,1306.931,1306.941,1
1306.942,1307.058,1306.838,1306.999,0
1306.999,1307.048,1306.658,1306.711,1
1306.711,1306.809,1306.489,1306.491,1
1306.491,1306.491,1305.501,1305.512,1
1305.511,1305.679,1305.211,1305.662,0
1305.658,1306.109,1305.641,1305.641,1
1305.641,1305.812,1305.531,1305.748,0
1305.741,1305.981,1305.541,1305.858,0
1305.858,1306.312,1305.848,1306.039,0
1306.048,1306.111,1306.038,1306.088,0
1306.068,1306.758,1306.058,1306.739,0
1306.731,1307.308,1306.599,1306.888,0
1306.889,1306.998,1306.489,1306.498,1
1306.498,1306.742,1306.251,1306.292,1
1306.291,1306.391,1304.171,1305.139,1
1305.128,1305.911,1304.829,1305.601,0
1305.621,1305.682,1304.922,1305.142,1
1305.141,1305.938,1305.141,1305.822,0
1305.821,1305.932,1305.508,1305.738,1
1305.731,1306.242,1305.641,1306.191,0
1306.198,1306.651,1306.069,1306.111,1
1306.112,1306.762,1306.058,1306.752,0
1306.751,1306.952,1306.508,1306.521,1
1306.528,1306.948,1306.521,1306.732,0
1306.731,1306.848,1306.308,1306.308,1
1306.308,1306.448,1305.991,1306.141,1
1306.142,1306.552,1306.101,1306.451,0
1306.452,1306.639,1306.341,1306.548,0
1306.558,1306.688,1306.458,1306.568,0
1306.561,1306.598,1306.468,1306.549,1
1306.549,1306.682,1306.431,1306.541,1
1306.542,1306.772,1306.442,1306.529,1
1306.529,1306.581,1305.832,1305.951,1
1305.962,1306.192,1305.882,1306.191,0
1306.191,1306.192,1306.001,1306.162,1
1306.161,1306.182,1305.418,1305.681,1
1305.682,1306.072,1305.608,1305.972,0
1305.971,1306.192,1305.841,1305.949,1
1305.941,1305.952,1305.421,1305.441,1
1305.442,1306.298,1305.381,1306.229,0
1306.229,1306.419,1306.141,1306.242,0
1306.242,1306.981,1306.241,1306.929,0
1306.921,1307.062,1306.641,1306.828,1
1306.821,1306.902,1306.731,1306.888,0
1306.908,1307.348,1306.671,1307.312,0
1307.311,1307.422,1306.988,1307.072,1
1307.071,1307.252,1307.002,1307.121,0
1307.122,1307.122,1306.741,1306.781,1
1306.781,1306.831,1306.611,1306.721,1
1306.721,1306.731,1306.399,1306.438,1
1306.438,1306.538,1306.431,1306.438,0
1306.438,1306.452,1306.311,1306.348,1
1306.348,1306.472,1306.341,1306.461,0
1306.462,1306.642,1306.441,1306.531,0
1306.532,1306.588,1306.429,1306.528,1
1306.531,1306.761,1306.521,1306.728,0
1306.728,1306.752,1306.609,1306.611,1
1306.612,1306.612,1306.492,1306.531,1
1306.532,1306.992,1306.502,1306.939,0
1306.939,1307.049,1306.931,1307.041,0
1307.042,1307.239,1307.031,1307.121,0
1307.121,1307.252,1307.111,1307.162,0
1307.161,1307.162,1307.081,1307.142,1
1307.132,1307.132,1307.011,1307.011,1
1307.012,1307.022,1306.911,1306.931,1
1306.931,1307.059,1306.909,1307.059,0
1307.059,1307.172,1307.058,1307.151,0
1307.151,1307.308,1307.058,1307.259,0
1307.259,1307.261,1306.771,1306.941,1
1306.941,1307.058,1306.831,1306.911,1
1306.902,1307.321,1306.841,1307.321,0
1307.322,1307.341,1307.071,1307.299,1
1307.299,1307.302,1307.181,1307.298,1
1307.298,1307.621,1307.201,1307.379,0
1307.381,1308.182,1307.371,1308.011,0
1308.019,1308.981,1308.009,1308.442,0
1308.431,1308.669,1308.241,1308.622,0
1308.622,1308.719,1308.281,1308.398,1
1308.398,1308.798,1308.301,1308.652,0
1308.652,1308.999,1308.481,1308.999,0
1308.999,1309.212,1308.781,1308.811,1
1308.812,1308.949,1308.568,1308.761,1
1308.761,1308.882,1308.621,1308.701,1
1308.691,1308.722,1308.478,1308.718,0
1308.718,1309.489,1308.709,1309.399,0
1309.399,1309.979,1308.589,1309.921,0
1309.902,1310.252,1309.551,1309.692,1
1309.681,1310.089,1309.431,1309.999,0
1309.999,1310.239,1309.491,1309.581,1
1309.582,1309.692,1309.061,1309.171,1
1309.171,1309.309,1308.891,1309.208,0
1309.208,1309.632,1309.122,1309.328,0
1309.328,1309.729,1309.328,1309.401,0
1309.409,1309.459,1308.829,1309.219,1
1309.219,1309.389,1308.802,1309.332,0
1309.349,1309.478,1309.012,1309.158,1
1309.158,1309.189,1308.951,1309.072,1
1309.099,1309.498,1309.059,1309.388,0
1309.388,1309.502,1308.581,1308.901,1
1308.902,1309.022,1308.469,1308.942,0
1308.942,1309.161,1308.721,1309.061,0
1309.061,1309.292,1309.041,1309.292,0
1309.299,1309.501,1309.118,1309.389,0
1309.389,1309.602,1309.268,1309.591,0
1309.592,1310.299,1309.568,1310.182,0
1310.181,1310.759,1310.091,1310.711,0
1310.702,1310.822,1310.301,1310.401,1
1310.391,1310.611,1310.121,1310.192,1
1310.192,1310.192,1309.938,1309.991,1
1310.001,1310.292,1309.948,1310.211,0
1310.188,1310.312,1309.962,1310.192,0
1310.191,1310.712,1310.052,1310.691,0
1310.691,1310.742,1310.401,1310.591,1
1310.602,1310.911,1310.361,1310.558,1
1310.558,1310.592,1310.091,1310.158,1
1310.171,1310.468,1310.112,1310.432,0
1310.431,1310.919,1310.431,1310.862,0
1310.861,1311.121,1310.661,1310.989,0
1310.989,1311.412,1310.769,1311.201,0
1311.201,1311.939,1311.181,1311.561,0
1311.578,1311.909,1311.351,1311.782,0
1311.772,1312.359,1311.759,1312.239,0
1312.172,1312.282,1311.442,1311.458,1
1311.458,1311.682,1311.182,1311.331,1
1311.331,1311.399,1310.381,1310.442,1
1310.462,1310.462,1310.122,1310.378,1
1310.378,1310.792,1310.351,1310.681,0
1310.682,1311.092,1310.671,1310.989,0
1310.952,1312.832,1310.952,1312.661,0
1312.661,1312.688,1312.038,1312.081,1
1312.081,1312.272,1311.908,1312.232,0
1312.231,1312.462,1311.931,1311.942,1
1311.941,1312.012,1311.698,1311.711,1
1311.702,1312.101,1311.638,1311.842,0
1311.841,1311.872,1311.418,1311.711,1
1311.711,1312.272,1311.688,1312.201,0
1312.202,1312.202,1311.951,1312.159,1
1312.151,1312.162,1311.641,1311.741,1
1311.741,1311.741,1311.311,1311.431,1
1311.432,1311.532,1311.292,1311.422,1
1311.422,1311.729,1311.381,1311.682,0
1311.681,1311.729,1311.421,1311.432,1
1311.511,1311.562,1310.681,1310.808,1
1310.828,1310.829,1310.521,1310.542,1
1310.542,1310.702,1310.361,1310.671,0
1310.668,1310.749,1310.141,1310.161,1
1310.151,1310.491,1310.078,1310.372,0
1310.372,1311.229,1310.371,1311.182,0
1311.189,1311.992,1311.108,1311.878,0
1311.898,1311.909,1311.282,1311.602,1
1311.601,1311.862,1311.471,1311.532,1
1311.531,1311.608,1311.341,1311.601,0
1311.602,1311.782,1311.491,1311.612,0
1311.611,1311.802,1311.378,1311.731,0
1311.732,1312.002,1311.671,1311.791,0
1311.791,1312.111,1311.601,1311.911,0
1311.922,1312.582,1311.711,1312.462,0
1312.461,1312.462,1311.941,1312.061,1
1312.061,1312.472,1311.879,1312.382,0
1312.382,1312.872,1311.891,1311.891,1
1311.891,1312.379,1311.868,1312.101,0
1312.119,1312.621,1312.078,1312.548,0
1312.698,1312.979,1312.452,1312.941,0
1312.942,1313.292,1312.751,1313.031,0
1313.039,1313.831,1313.022,1313.811,0
1313.812,1313.882,1313.408,1313.861,0
1313.851,1314.102,1313.458,1313.721,1
1313.741,1313.852,1312.991,1313.101,1
1313.061,1313.942,1313.031,1313.858,0
1313.851,1314.372,1313.441,1313.888,0
1313.861,1314.298,1313.762,1313.972,0
1313.981,1314.322,1313.939,1314.111,0
1314.119,1314.302,1313.471,1313.611,1
1313.612,1313.782,1313.312,1313.631,0
1313.642,1313.772,1313.368,1313.421,1
1313.411,1313.599,1313.149,1313.211,1
1313.199,1314.531,1312.811,1314.001,0
1314.002,1314.279,1313.271,1313.681,1
1313.681,1313.758,1312.431,1313.231,1
1313.231,1313.509,1312.958,1313.261,0
1313.298,1313.309,1312.381,1312.462,1
1312.451,1312.778,1312.211,1312.631,0
1312.632,1312.828,1310.832,1312.341,1
1312.341,1312.921,1312.251,1312.731,0
1312.742,1313.302,1312.471,1313.131,0
1313.132,1313.202,1311.801,1312.481,1
1312.482,1313.272,1312.378,1313.191,0
1313.192,1313.572,1312.142,1312.222,1
1312.262,1312.862,1312.019,1312.291,0
1312.282,1312.921,1312.259,1312.691,0
1312.699,1312.842,1312.058,1312.282,1
1312.289,1312.669,1312.239,1312.621,0
1312.622,1312.729,1312.131,1312.242,1
1312.242,1312.591,1311.911,1312.201,1
1312.221,1312.762,1312.171,1312.721,0
1312.722,1313.302,1312.451,1313.229,0
1313.221,1313.601,1312.751,1313.029,1
1313.019,1313.108,1312.418,1312.908,1
1312.889,1313.179,1312.591,1312.861,1
1312.869,1312.908,1312.408,1312.591,1
1312.592,1312.651,1312.029,1312.172,1
1312.171,1312.412,1312.101,1312.292,0
1312.291,1312.662,1312.191,1312.322,0
1312.328,1312.662,1311.671,1312.021,1
1312.011,1312.291,1311.411,1311.689,1
1311.699,1311.849,1311.268,1311.308,1
1311.232,1311.928,1311.209,1311.569,0
1311.558,1311.829,1311.431,1311.798,0
1311.809,1311.931,1311.381,1311.651,1
1311.652,1311.682,1311.218,1311.252,1
1311.248,1311.861,1311.191,1311.812,0
1311.822,1311.991,1311.302,1311.602,1
1311.601,1311.812,1311.481,1311.579,1
1311.572,1311.792,1311.331,1311.461,1
1311.462,1311.812,1311.421,1311.731,0
1311.721,1312.232,1311.721,1312.231,0
1312.191,1312.202,1311.781,1311.811,1
1311.821,1312.441,1311.741,1312.402,0
1312.461,1312.901,1312.371,1312.801,0
1312.808,1313.322,1312.701,1313.322,0
1313.322,1313.431,1313.121,1313.302,1
1313.302,1313.388,1312.901,1313.162,1
1313.181,1313.632,1313.058,1313.572,0
1313.571,1314.582,1313.351,1314.552,0
1314.561,1314.561,1313.808,1314.341,1
1314.342,1314.462,1314.031,1314.311,1
1314.332,1314.539,1313.818,1314.272,1
1314.272,1314.272,1313.881,1314.102,1
1314.102,1314.359,1313.882,1314.349,0
1314.338,1314.812,1314.301,1314.512,0
1314.511,1314.858,1314.461,1314.848,0
1314.848,1315.149,1314.811,1315.018,0
1315.039,1315.149,1314.931,1314.972,1
1314.981,1315.182,1314.899,1315.071,0
1315.071,1315.102,1314.498,1314.681,1
1314.682,1315.172,1314.681,1315.162,0
1315.152,1315.491,1315.151,1315.321,0
1315.338,1315.538,1315.191,1315.451,0
1315.451,1315.528,1315.001,1315.239,1
1315.232,1315.759,1315.231,1315.532,0
1315.538,1315.739,1315.441,1315.628,0
1315.621,1316.162,1315.601,1315.942,0
1315.941,1316.141,1315.658,1316.008,0
1316.009,1316.661,1316.009,1316.551,0
1316.531,1316.839,1316.321,1316.452,1
1316.451,1316.451,1316.179,1316.391,1
1316.392,1316.609,1316.028,1316.251,1
1316.252,1316.609,1316.151,1316.609,0
1316.561,1317.439,1316.561,1317.371,0
1317.391,1318.322,1317.332,1317.779,0
1317.799,1318.002,1317.631,1317.971,0
1317.972,1318.222,1317.671,1317.771,1
1317.771,1318.422,1317.711,1318.422,0
1318.371,1318.472,1317.949,1318.272,1
1318.272,1318.371,1317.558,1318.042,1
1318.049,1318.482,1318.041,1318.422,0
1318.421,1318.852,1317.792,1318.002,1
1318.032,1318.122,1317.372,1317.752,1
1317.758,1317.862,1317.651,1317.851,0
1317.868,1317.878,1317.641,1317.641,1
1317.652,1317.702,1317.631,1317.671,0
1317.671,1317.691,1317.582,1317.631,1
1317.651,1318.022,1317.651,1318.022,0
